Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
TIOGA ST BK/TSB SVC,1281.0,910118,"SPENCER, NY",SMB,391000000.0,391000000.0,1.0,0.99,10.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CCB CMNTY BK/SOUTHERN NAT CORP,1282.0,655839,"ANDALUSIA, AL",SMB,391000000.0,391000000.0,1.0,0.99,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
NEBRASKALAND NB/NEBRASKALAND FS,1283.0,2667957,"NORTH PLATTE, NE",NAT,390000000.0,390000000.0,1.0,0.99,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CORNERSTONE BK/CORNERSTONE FNCL CORP,1284.0,2850768,"MOUNT LAUREL, NJ",SNM,390000000.0,390000000.0,1.0,0.99,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST COUNTY BK/FIRST CO BANCORP,1285.0,327949,"NEW BADEN, IL",SNM,390000000.0,390000000.0,1.0,0.99,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CITIZENS FIRST BK/CITIZENS FIRST CORP,1286.0,2751007,"BOWLING GREEN, KY",SNM,390000000.0,390000000.0,1.0,0.99,8.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
MERCHANTS & SOUTHERN BK/MERCHANTS & S BK OF FL,1287.0,726234,"GAINESVILLE, FL",SNM,390000000.0,390000000.0,1.0,0.99,13.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
WILSON & MUIR B&TC/WILSON & MUIR BANCORP,1288.0,899343,"BARDSTOWN, KY",SNM,390000000.0,390000000.0,1.0,0.99,10.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIDELITY BK/FIDELITY HC,1289.0,9357,"EDINA, MN",SNM,390000000.0,390000000.0,1.0,0.99,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
SECURITY ST BK/BRISCOE RANCH,1290.0,839068,"PEARSALL, TX",SNM,390000000.0,390000000.0,1.0,0.99,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
BANK OF ELK RIVER/METRO NORTH BSHRS,1291.0,10250,"ELK RIVER, MN",SNM,389000000.0,389000000.0,1.0,0.99,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
METRO CITY BK/,1292.0,3437456,"DORAVILLE, GA",SNM,389000000.0,389000000.0,1.0,0.99,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
METRO UNITED BK/METROCORP BSHRS,1293.0,1864601,"SAN DIEGO, CA",SNM,389000000.0,389000000.0,1.0,0.99,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST MN BK/MCLEOD BSHRS,1294.0,75053,"MINNETONKA, MN",SNM,389000000.0,389000000.0,1.0,0.99,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
HOMESTAR BK & FS/HOMESTAR FNCL GRP,1295.0,300036,"MANTENO, IL",SNM,389000000.0,389000000.0,1.0,0.99,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PLATINUM BK/,1296.0,2631314,"BRANDON, FL",SNM,388000000.0,388000000.0,1.0,0.99,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST ST BK MIDDLEBURY/CRYSTAL VALLEY FC,1297.0,967046,"MIDDLEBURY, IN",SNM,388000000.0,388000000.0,1.0,0.99,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
WESTERN BK/WESTERN BSHRS,1298.0,829256,"SAINT PAUL, MN",SNM,388000000.0,388000000.0,1.0,0.99,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
VIKING BK/VIKING FS CORP,1299.0,1973129,"SEATTLE, WA",SNM,387000000.0,387000000.0,1.0,0.99,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
HCSB ST BKG ASSN/HALECO BSHRS,1300.0,973364,"PLAINVIEW, TX",SMB,387000000.0,387000000.0,1.0,0.99,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
BEVERLY B&TC NA/WINTRUST FC,1301.0,3216017,"CHICAGO, IL",NAT,387000000.0,387000000.0,1.0,0.99,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST NB/BASTROP BSHRS,1302.0,18050,"BASTROP, TX",NAT,387000000.0,387000000.0,1.0,0.99,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST NB&TC/MOUNTAIN HOME BSHRS,1303.0,26242,"MOUNTAIN HOME, AR",NAT,387000000.0,387000000.0,1.0,0.99,7.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST NB OF SCOTIA/GLENVILLE BHC,1304.0,472616,"SCOTIA, NY",NAT,387000000.0,387000000.0,1.0,0.99,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
EVERGREEN BK GRP/BANCORP FNCL,1305.0,2834759,"OAK BROOK, IL",SNM,387000000.0,387000000.0,1.0,0.99,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CENTRAL BK IL/CENTRAL BANC,1306.0,931038,"GENESEO, IL",SNM,387000000.0,387000000.0,1.0,0.99,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CAPSTONE BK/CAPSTONE BSHRS,1307.0,450034,"TUSCALOOSA, AL",SNM,387000000.0,387000000.0,1.0,0.99,7.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CITIZENS BK/AMADOR BSHRS,1308.0,1016857,"LAS CRUCES, NM",SNM,387000000.0,387000000.0,1.0,0.99,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
JACKSON COUNTY BK/BANCORP OF SOUTHERN IN,1309.0,884442,"SEYMOUR, IN",SNM,386000000.0,386000000.0,1.0,0.99,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
DELTA TR&BK/DELTA TRUST & BKG CORP,1310.0,914349,"PARKDALE, AR",SNM,386000000.0,386000000.0,1.0,0.99,8.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
GREER ST BK/GREER BSHRS,1311.0,1356526,"GREER, SC",SNM,386000000.0,386000000.0,1.0,0.99,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PLATTE VALLEY BK/PLATTE VALLEY FS CO,1312.0,2465881,"SCOTTSBLUFF, NE",SMB,385000000.0,385000000.0,1.0,0.99,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CITIZENS TR BK/CITIZENS BSHRS CORP,1313.0,680130,"ATLANTA, GA",SMB,385000000.0,385000000.0,1.0,0.99,10.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PROVIDENT CMNTY BK NA/PROVIDENT CMNTY BSHRS,1314.0,937674,"ROCK HILL, SC",NAT,385000000.0,385000000.0,1.0,0.99,8.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FORT SILL NB/JRMB II,1315.0,125154,"FORT SILL, OK",NAT,384000000.0,384000000.0,1.0,0.99,67.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
1ST CENTURY BK NA/1ST CENTURY BSHRS,1316.0,3247598,"LOS ANGELES, CA",NAT,384000000.0,384000000.0,1.0,0.99,0.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
BRIDGEWATER BK/BRIDGEWATER BSHRS,1317.0,3378773,"BLOOMINGTON, MN",SNM,384000000.0,384000000.0,1.0,0.99,1.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FAIRFIELD NB/FAIRFIELD BSHRS,1318.0,640246,"FAIRFIELD, IL",NAT,384000000.0,384000000.0,1.0,0.99,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
COMMERCIAL BK/COMMERCIAL NAT FC,1319.0,513340,"ALMA, MI",SNM,384000000.0,384000000.0,1.0,0.99,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
BIG SKY WESTERN BK/GLACIER BC,1320.0,1441600,"BOZEMAN, MT",SNM,384000000.0,384000000.0,1.0,0.99,4.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
NATIONAL BK OF CA/NCAL BC,1321.0,667869,"LOS ANGELES, CA",NAT,384000000.0,384000000.0,1.0,0.99,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
STEUBEN TC/STEUBEN TR CORP,1322.0,929802,"HORNELL, NY",SNM,384000000.0,384000000.0,1.0,0.99,12.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CENTRAL PROGRESSIVE BK/BLOSSMAN BSHRS,1323.0,185037,"LACOMBE, LA",SNM,383000000.0,383000000.0,1.0,0.99,16.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
SOUTHWEST NB/REPUBLIC FC,1324.0,499855,"WICHITA, KS",NAT,383000000.0,383000000.0,1.0,0.99,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
OLD FT BKG CO/GILLMOR FNCL SVC,1325.0,564324,"OLD FORT, OH",SNM,382000000.0,382000000.0,1.0,0.99,8.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PLAZA BK/METROPOLITAN BK GRP,1326.0,724847,"NORRIDGE, IL",SNM,382000000.0,382000000.0,1.0,0.99,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
CALIFORNIA FIRST NB/CALIFORNIA FIRST NBC,1327.0,2907439,"IRVINE, CA",NAT,382000000.0,382000000.0,1.0,0.99,0.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
PEOPLES B&TC/PBT BSHRS,1328.0,153353,"MCPHERSON, KS",SNM,382000000.0,382000000.0,1.0,0.99,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
